Tipo;Notícia;Link
Principal;"'Morrer de sede deve ser desesperador', diz filha de brasileira morta no deserto dos EUA";"https://g1.globo.com/fantastico/noticia/2021/09/26/nunca-poderia-imaginar-diz-filha-de-brasileira-que-morreu-no-deserto-tentando-entrar-ilegalmente-nos-eua.ghtml"
Principal;"Brasileiros são achados em caminhão na fronteira dos EUA";"https://g1.globo.com/mundo/noticia/2021/09/26/imigrantes-ilegais-brasileiros-sao-achados-em-carroceria-de-caminhao-na-fronteira-dos-eua.ghtml"
Principal;"Nuvem gigante de poeira encobre cidades no interior de SP; veja vídeo";"https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2021/09/26/moradora-de-franca-sp-registra-nuvem-gigante-de-poeira-ao-lado-do-apartamento-nunca-tinha-visto-isso.ghtml"
Principal;"ENTENDA: meteorologista explica a tempestade de terra em SP e MG";"https://g1.globo.com/globonews/jornal-globonews-edicao-das-18/video/meteorologista-explica-tempestade-de-terra-que-atingiu-interior-de-sp-e-divisa-com-mg-9894140.ghtml"
Principal;"Média móvel de mortes por Covid segue acima de 500 pelo 13º dia";"https://g1.globo.com/saude/coronavirus/noticia/2021/09/26/brasil-ultrapassa-594484-mil-mortes-por-covid-media-fica-acima-de-500-pelo-13o-dia.ghtml"
Principal;"ASSISTA: 'GloboNews Debate' discute as chances da 3ª via";"https://g1.globo.com/globonews/ao-vivo/globonews-ao-vivo.ghtml"
Principal;"'Jato gigante', cadeirada em assaltante e mais vídeos";"https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml"
Principal;"ASSISTA: Corinthians x Palmeiras";"https://ge.globo.com/sp/campinas-e-regiao/futebol/brasileiro-feminino/jogo/26-09-2021/corinthians-feminino-palmeiras.ghtml"
Principal;"TDAH atinge uma em cada 20 crianças; saiba fazer o diagnóstico";"https://g1.globo.com/fantastico/quadros/tudo-ao-mesmo-tempo/noticia/2021/09/26/tdah-atinge-uma-em-cada-20-criancas-saiba-a-forma-correta-de-fazer-o-diagnostico.ghtml"
Principal;"Presidente da Caixa está com Covid; é o 4º da comitiva de Bolsonaro em NY";"https://g1.globo.com/politica/noticia/2021/09/26/pedro-guimaraes-anuncia-que-teste-para-covid-19-deu-positivo.ghtml"
